SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,FACE VALUE,Index,BSE_Security_Code,Listed_Company_Name,Ticker_Symbol,Official_Issuer_Name,Listing_Status,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,Instrument,ISIN
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,2,1,2,,,,,,,,,,,,,,,IN9175A01010
FELDVR,Future Enterprises Limited,BZ,13-FEB-2009,2,1,2,,,,,,,,,,,,,,,IN9623B01058
KRBL,KRBL Limited,EQ,21-JAN-2002,1,1,1,,,,,,,,,,,,,,,INE001B01026
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10,1,10,,,,,,,,,,,,,,,INE002A01018
SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,10,,,,,,,,,,,,,,,INE002L01015
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,10,,,,,,,,,,,,,,,INE002S01010
SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,1,2,,,,,,,,,,,,,,,INE003A01024
PROTEAN,Protean eGov Technologies Limited,EQ,06-FEB-2025,10,1,10,,,,,,,,,,,,,,,INE004A01022
AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,1,2,,,,,,,,,,,,,,,INE005B01027
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,10,,,,,,,,,,,,,,,INE005I01014
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,1,,,,,,,,,,,,,,,INE006I01046
ARVEE,Arvee Laboratories (India) Limited,BE,22-MAR-2021,10,1,10,,,,,,,,,,,,,,,INE006Z01016
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,1,,,,,,,,,,,,,,,INE007A01025
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,1,,,,,,,,,,,,,,,INE007B01023
FEDFINA,Fedbank Financial Services Limited,EQ,30-NOV-2023,10,1,10,,,,,,,,,,,,,,,INE007N01010
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,10,,,,,,,,,,,,,,,INE008A01015
SRPL,Shree Ram Proteins Limited,BZ,23-SEP-2020,1,1,1,,,,,,,,,,,,,,,INE008Z01020
INFY,Infosys Limited,EQ,08-FEB-1995,5,1,5,,,,,,,,,,,,,,,INE009A01021
TREJHARA,TREJHARA SOLUTIONS LIMITED,BE,28-DEC-2018,10,1,10,,,,,,,,,,,,,,,INE00CA01015
SVLL,Shree Vasu Logistics Limited,EQ,21-APR-2023,10,1,10,,,,,,,,,,,,,,,INE00CE01017
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,1,,,,,,,,,,,,,,,INE00E101023
MEGASTAR,Megastar Foods Limited,BE,16-FEB-2022,10,1,10,,,,,,,,,,,,,,,INE00EM01016
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,1,10,,,,,,,,,,,,,,,INE00EV01017
PRUDENT,Prudent Corporate Advisory Services Limited,EQ,20-MAY-2022,5,1,5,,,,,,,,,,,,,,,INE00F201020
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,5,,,,,,,,,,,,,,,INE00FF01025
SWIGGY,Swiggy Limited,EQ,13-NOV-2024,1,1,1,,,,,,,,,,,,,,,INE00H001014
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,EQ,28-FEB-2023,2,1,2,,,,,,,,,,,,,,,INE00IK01029
STOVEKRAFT,Stove Kraft Limited,EQ,05-FEB-2021,10,1,10,,,,,,,,,,,,,,,INE00IN01015
RAJMET,Rajnandini Metal Limited,EQ,16-FEB-2021,1,1,1,,,,,,,,,,,,,,,INE00KV01022
SONAMLTD,SONAM LIMITED,EQ,07-APR-2022,5,1,5,,,,,,,,,,,,,,,INE00LM01029
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,5,,,,,,,,,,,,,,,INE00LO01017
SWSOLAR,Sterling and Wilson Renewable Energy Limited,EQ,20-AUG-2019,1,1,1,,,,,,,,,,,,,,,INE00M201021
INTERARCH,Interarch Building Solutions Limited,EQ,26-AUG-2024,10,1,10,,,,,,,,,,,,,,,INE00M901018
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10,1,10,,,,,,,,,,,,,,,INE00OQ01016
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,10,,,,,,,,,,,,,,,INE00PV01013
STUDDS,Studds Accessories Limited,EQ,07-NOV-2025,5,1,5,,,,,,,,,,,,,,,INE00Q601028
SGIL,Synergy Green Industries Limited,EQ,28-JUL-2021,10,1,10,,,,,,,,,,,,,,,INE00QT01015
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,2,,,,,,,,,,,,,,,INE00R701025
HILINFRA,Highway Infrastructure Limited,EQ,12-AUG-2025,5,1,5,,,,,,,,,,,,,,,INE00RL01028
NILASPACES,Nila Spaces Limited,EQ,28-DEC-2018,1,1,1,,,,,,,,,,,,,,,INE00S901012
UNIECOM,Unicommerce Esolutions Limited,EQ,13-AUG-2024,1,1,1,,,,,,,,,,,,,,,INE00U401027
MANORAMA,Manorama Industries Limited,EQ,01-JUL-2022,2,1,2,,,,,,,,,,,,,,,INE00VM01036
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2,1,2,,,,,,,,,,,,,,,INE00WC01027
FLAIR,Flair Writing Industries Limited,EQ,01-DEC-2023,5,1,5,,,,,,,,,,,,,,,INE00Y201027
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,10,,,,,,,,,,,,,,,INE00Y801016
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,1,1,1,,,,,,,,,,,,,,,INE00YB01025
JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-SEP-2025,10,1,10,,,,,,,,,,,,,,,INE00YJ01010
KRITIKA,Kritika Wires Limited,EQ,04-MAY-2022,2,1,2,,,,,,,,,,,,,,,INE00Z501029
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,2,,,,,,,,,,,,,,,INE00ZE01026
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,10,1,10,,,,,,,,,,,,,,,INE010601016
PRSMJOHNSN,Prism Johnson Limited,EQ,20-AUG-2003,10,1,10,,,,,,,,,,,,,,,INE010A01011
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,1,,,,,,,,,,,,,,,INE010B01027
TEJASNET,Tejas Networks Limited,EQ,27-JUN-2017,10,1,10,,,,,,,,,,,,,,,INE010J01012
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,2,,,,,,,,,,,,,,,INE010V01017
BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024,10,1,10,,,,,,,,,,,,,,,INE011E01029
RAJVIR,Rajvir Industries Limited,BZ,20-SEP-2005,10,1,10,,,,,,,,,,,,,,,INE011H01014
TEGA,Tega Industries Limited,EQ,13-DEC-2021,10,1,10,,,,,,,,,,,,,,,INE011K01018
ACC,ACC Limited,EQ,20-NOV-1996,10,1,10,,,,,,,,,,,,,,,INE012A01025
RNBDENIMS,R&B Denims Limited,EQ,04-SEP-2025,2,1,2,,,,,,,,,,,,,,,INE012Q01021
